device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity
574246413,6514455577186,"(0.5873515605926514, 0.3046730160713196)","(67.57057189941406, 202.96649169921875, 63.231971740722656)",1,2.1670684814453125,1,"(-35.08604431152344, 6.053152084350586, 600.714111328125)","(0.5804997086524963, 0.4799847900867462, 0.345397025346756)",1,"(0.5771321654319763, 0.327637255191803)","(62.152793884277344, 196.5313720703125, 60.889747619628906)",1,2.2327880859375,1,"(25.678600311279297, -3.586554527282715, 612.9129028320312)","(0.4441346526145935, 0.5010511875152588, 0.37046441435813904)",1
574254747,6514455585520,"(0.5892633199691772, 0.30023688077926636)","(68.58406066894531, 204.20962524414062, 63.684452056884766)",1,2.1585693359375,1,"(-35.19914627075195, 6.043342113494873, 600.9927978515625)","(0.5807129740715027, 0.4800250232219696, 0.34601521492004395)",1,"(0.5765894651412964, 0.3273494839668274)","(61.86505126953125, 196.61199951171875, 60.91912078857422)",1,2.2465057373046875,1,"(25.612247467041016, -3.587592124938965, 612.9384155273438)","(0.444284051656723, 0.5010550618171692, 0.370513916015625)",1
574263079,6514455593852,"(0.5803038477897644, 0.3059900104999542)","(63.83421325683594, 202.59742736816406, 63.09766387939453)",1,2.1815338134765625,1,"(-35.2392463684082, 6.022207736968994, 600.6263427734375)","(0.5808589458465576, 0.4800508916378021, 0.345223993062973)",1,"(0.5732241272926331, 0.3301506042480469)","(60.08091354370117, 195.82704162597656, 60.63343811035156)",1,2.234588623046875,1,"(25.54462432861328, -3.5789122581481934, 612.7874145507812)","(0.4444179832935333, 0.5010329484939575, 0.37018007040023804)",1
574271413,6514455602186,"(0.5832461714744568, 0.3024931848049164)","(65.39408874511719, 203.57733154296875, 63.454349517822266)",1,2.174652099609375,1,"(-35.3642463684082, 6.021690368652344, 601.1044921875)","(0.581068754196167, 0.4800824224948883, 0.34627699851989746)",1,"(0.5739344358444214, 0.32617267966270447)","(60.4575080871582, 196.94175720214844, 61.03913497924805)",1,2.238525390625,1,"(25.464977264404297, -3.580104351043701, 612.814453125)","(0.4445970058441162, 0.5010373592376709, 0.3702316880226135)",1
574279746,6514455610518,"(0.5820449590682983, 0.3065854609012604)","(64.75726318359375, 202.4305877685547, 63.036930084228516)",1,2.15142822265625,1,"(-35.42790603637695, 6.0142107009887695, 601.1074829101562)","(0.5812119841575623, 0.48010024428367615, 0.34629106521606445)",1,"(0.5714676380157471, 0.3265441954135895)","(59.14970779418945, 196.83766174316406, 61.001258850097656)",1,2.23046875,1,"(25.393665313720703, -3.5778377056121826, 612.9237670898438)","(0.4447661340236664, 0.5010361075401306, 0.37046268582344055)",1
574288080,6514455618852,"(0.5648287534713745, 0.3172001838684082)","(55.63010787963867, 199.45606994628906, 61.954288482666016)",1,2.1774749755859375,1,"(-35.5692138671875, 5.994874954223633, 600.8984375)","(0.581562876701355, 0.48013290762901306, 0.34585437178611755)",1,"(0.5606074929237366, 0.328492671251297)","(53.39221954345703, 196.29164123535156, 60.80254364013672)",1,2.253997802734375,1,"(25.252727508544922, -3.573448657989502, 612.8411254882812)","(0.44506943225860596, 0.5010262727737427, 0.37027084827423096)",1
574296413,6514455627185,"(0.4926278293132782, 0.3057098984718323)","(17.352840423583984, 202.6759490966797, 63.12622833251953)",1,2.14801025390625,1,"(-35.896575927734375, 5.980093002319336, 601.1650390625)","(0.582261323928833, 0.48018643260002136, 0.3464736342430115)",1,"(0.4951874613761902, 0.3234362304210663)","(18.709829330444336, 197.70858764648438, 61.318267822265625)",1,2.2534332275390625,1,"(24.88632583618164, -3.5515735149383545, 612.7335205078125)","(0.4458693563938141, 0.5009803771972656, 0.37000545859336853)",1
574304746,6514455635518,"(0.4304415285587311, 0.2986012101173401)","(-15.615184783935547, 204.66795349121094, 63.85126495361328)",1,2.1410369873046875,1,"(-36.300636291503906, 5.986433029174805, 601.3109130859375)","(0.5831512212753296, 0.4801865518093109, 0.346842497587204)",1,"(0.4289493262767792, 0.3243188261985779)","(-16.40627098083496, 197.4612579345703, 61.22822952270508)",1,2.2379608154296875,1,"(24.373443603515625, -3.4865119457244873, 612.8334350585938)","(0.44701510667800903, 0.5008469223976135, 0.37017980217933655)",1
574313079,6514455643851,"(0.36710450053215027, 0.2785378098487854)","(-49.193241119384766, 210.29022216796875, 65.8975830078125)",1,2.1420745849609375,1,"(-36.727596282958984, 5.978143692016602, 601.5732421875)","(0.5840737223625183, 0.4802265465259552, 0.3474666476249695)",1,"(0.36959347128868103, 0.30909740924835205)","(-47.87372970581055, 201.72666931152344, 62.78071212768555)",1,2.2599945068359375,1,"(23.90049934387207, -3.435006856918335, 613.0224609375)","(0.4480805993080139, 0.5007449388504028, 0.37055158615112305)",1
574321413,6514455652185,"(0.31417930126190186, 0.2529750168323517)","(-77.25151062011719, 217.4535675048828, 68.50483703613281)",1,2.1282806396484375,1,"(-37.076385498046875, 5.890006065368652, 601.8245849609375)","(0.5848196148872375, 0.4804432988166809, 0.348052442073822)",1,"(0.31345996260643005, 0.3241615891456604)","(-77.63286590576172, 197.50534057617188, 61.244266510009766)",1,2.2664337158203125,1,"(23.539413452148438, -3.43269419670105, 612.7984619140625)","(0.44885772466659546, 0.5007389187812805, 0.37003520131111145)",1
574329747,6514455660519,"(0.3004245162010193, 0.2575409710407257)","(-84.54359436035156, 216.17405700683594, 68.03912353515625)",1,2.1115875244140625,1,"(-37.26915740966797, 5.864442825317383, 601.8312377929688)","(0.5852530002593994, 0.4805034101009369, 0.34809091687202454)",1,"(0.2808866500854492, 0.33323290944099426)","(-94.90157318115234, 194.9633026123047, 60.31903839111328)",1,2.2738494873046875,1,"(23.344772338867188, -3.440565824508667, 612.7183837890625)","(0.44928067922592163, 0.5007567405700684, 0.36984506249427795)",1
574338080,6514455668852,"(0.3080187439918518, 0.2596953213214874)","(-80.51751708984375, 215.57037353515625, 67.81941223144531)",1,2.1374969482421875,1,"(-37.312477111816406, 5.853681564331055, 601.6953125)","(0.585372269153595, 0.48052000999450684, 0.3478012681007385)",1,"(0.29142454266548157, 0.3257278501987457)","(-89.31493377685547, 197.06642150878906, 61.08451843261719)",1,2.266326904296875,1,"(23.322711944580078, -3.4381394386291504, 612.7613525390625)","(0.4493336081504822, 0.5007528066635132, 0.36993661522865295)",1
574346413,6514455677185,"(0.29604050517082214, 0.2626262307167053)","(-86.86779022216797, 214.7490692138672, 67.52045440673828)",1,2.11859130859375,1,"(-37.35963439941406, 5.84458065032959, 601.5890502929688)","(0.5854955911636353, 0.48053470253944397, 0.3475764989852905)",1,"(0.28292468190193176, 0.31896963715553284)","(-93.82115173339844, 198.96023559570312, 61.773826599121094)",1,2.2698822021484375,1,"(23.321531295776367, -3.4482080936431885, 612.7616577148438)","(0.44933614134788513, 0.5007749199867249, 0.369937002658844)",1
574354746,6514455685518,"(0.29901546239852905, 0.26685553789138794)","(-85.29061126708984, 213.56387329101562, 67.0891342163086)",1,2.1339263916015625,1,"(-37.43834686279297, 5.839765548706055, 601.690673828125)","(0.5856568217277527, 0.4805525839328766, 0.3478071093559265)",1,"(0.2818184494972229, 0.314871609210968)","(-94.4075927734375, 200.10858154296875, 62.19183349609375)",1,2.2784576416015625,1,"(23.299530029296875, -3.4563496112823486, 612.877685546875)","(0.44939571619033813, 0.5007960796356201, 0.370186984539032)",1
574363084,6514455693856,"(0.29860591888427734, 0.27120158076286316)","(-85.50773620605469, 212.34600830078125, 66.64585876464844)",1,2.134979248046875,1,"(-37.49441146850586, 5.839589595794678, 601.673583984375)","(0.5857861042022705, 0.4805527329444885, 0.34777751564979553)",1,"(0.2887389063835144, 0.3175913095474243)","(-90.73872375488281, 199.3464813232422, 61.914371490478516)",1,2.26092529296875,1,"(23.28246307373047, -3.4592559337615967, 612.972412109375)","(0.4494425058364868, 0.500805139541626, 0.370391309261322)",1
574371418,6514455702190,"(0.2973325252532959, 0.27625441551208496)","(-86.18281555175781, 210.9300994873047, 66.13048553466797)",1,2.136383056640625,1,"(-37.530250549316406, 5.831350326538086, 601.6695556640625)","(0.5858674049377441, 0.48057135939598083, 0.34777313470840454)",1,"(0.2855813503265381, 0.31912609934806824)","(-92.41268157958984, 198.9163818359375, 61.75787353515625)",1,2.2700042724609375,1,"(23.267154693603516, -3.4561567306518555, 612.98388671875)","(0.4494774639606476, 0.500798761844635, 0.370415061712265)",1
574379751,6514455710523,"(0.2946774959564209, 0.2735048830509186)","(-87.59037017822266, 211.70057678222656, 66.41091918945312)",1,2.1278839111328125,1,"(-37.561363220214844, 5.823062419891357, 601.6151733398438)","(0.585946261882782, 0.4805871546268463, 0.34765878319740295)",1,"(0.28795325756073, 0.3159696161746979)","(-91.15522003173828, 199.80093383789062, 62.07978439331055)",1,2.2746429443359375,1,"(23.251930236816406, -3.4572930335998535, 612.92236328125)","(0.4495052695274353, 0.5007999539375305, 0.37028011679649353)",1
574388084,6514455718856,"(0.2940176725387573, 0.2736094892024994)","(-87.94017028808594, 211.6712646484375, 66.40026092529297)",1,2.135955810546875,1,"(-37.597557067871094, 5.822267532348633, 601.6716918945312)","(0.5860188603401184, 0.4805927574634552, 0.3477862775325775)",1,"(0.28926658630371094, 0.3177797794342041)","(-90.4589614868164, 199.2936553955078, 61.89516830444336)",1,2.2603912353515625,1,"(23.23921012878418, -3.4541444778442383, 612.912841796875)","(0.44953253865242004, 0.500792920589447, 0.37025851011276245)",1
