timestamp_system,left_gaze_point_x,left_gaze_point_y,right_gaze_point_x,right_gaze_point_y,ActualGazePointX,ActualGazePointY,Timestamp,PixelPointX,PixelPointY,InterSampleDuration_DS,Velocity,Event_Type,SmoothPixelPointX,SmoothPixelPointY
154936701724,0.2621297515599073,0.2784182360843335,0.2415617816216123,0.0019899714184025,0.2518457665907598,0.8597958962486321,0.0,322.0,851.0,0.0,0.0,Unknown,322.0,851.0
154936710057,0.2755826865677285,0.3595238911478142,0.2424170502519185,0.2973244584125021,0.2589998684098235,0.6715758252198418,8.333000004291534,332.0,665.0,8.333,89.41251560497857,Noise,332.0,665.0
154936718391,0.2755451641251555,0.3620518209732369,0.2413224684453643,0.3736137008230528,0.2584338162852599,0.6321672391018551,16.666999995708466,331.0,626.0,8.334,18.724654881901163,Unknown,331.0,626.0
154936726728,0.2684148366472362,0.3726888358729381,0.2522705145641766,0.4105388437310399,0.2603426756057064,0.608386160198011,25.00399997830391,333.0,602.0,8.337,11.55484668723106,Unknown,333.0,602.0
154936735051,0.2696589512107646,0.3698883150480431,0.2462338067788993,0.3594707134386494,0.2579463789948319,0.6353204857566537,33.32699999213219,330.0,629.0,8.323,13.05594394774814,Unknown,331.4845437028595,629.7540535828969
154936743384,0.2676473229332308,0.3672210331094073,0.2451469725212164,0.350478230242871,0.2563971477272236,0.6411503683238609,41.65999999642372,328.0,635.0,8.333,3.0359079885177405,Unknown,330.44951066467826,623.2073089017006
154936751718,0.2791440778074011,0.3741488659681935,0.246259986404824,0.363111618836357,0.2627020321061125,0.6313697575977247,49.99399998784065,336.0,625.0,8.334,6.146507553661949,Unknown,331.76411895691695,623.1724176917362
154936760051,0.2735422455104051,0.3960769373983213,0.2482768303525131,0.3590996479278843,0.2609095379314591,0.6224117073368972,58.32699999213219,334.0,616.0,8.333,4.425558359555875,Unknown,332.09595188274216,626.0416785305881
154936768385,0.2711976245441268,0.3924658616020149,0.2472588125583344,0.3893202012409061,0.2592282185512306,0.6091069685785395,66.66099998354912,332.0,603.0,8.334,6.312909263984612,Unknown,332.5649291628892,619.2538284865653
154936776719,0.2722463287083448,0.4167735986906003,0.2539690000821004,0.3846048409660565,0.2631076643952226,0.5993107801716716,74.99500000476837,337.0,593.0,8.334,5.366133841628323,Unknown,334.7424581158059,608.7309898893851
